Topic,Subject,Title,District 01 Estimate,District 02 Estimate,District 03 Estimate,District 04 Estimate,District 05 Estimate,District 06 Estimate,District 07 Estimate,District 08 Estimate,District 09 Estimate,District 10 Estimate,District 11 Estimate,District 12 Estimate,District 13 Estimate,District 14 Estimate,District 15 Estimate,District 16 Estimate,District 17 Estimate,District 18 Estimate,District 19 Estimate,District 20 Estimate,District 21 Estimate,District 22 Estimate,District 23 Estimate,District 24 Estimate,District 25 Estimate,District 26 Estimate,District 27 Estimate,District 28 Estimate,District 29 Estimate,District 30 Estimate,District 31 Estimate,District 32 Estimate,District 33 Estimate,District 34 Estimate,District 35 Estimate,District 36 Estimate,District 37 Estimate,District 38 Estimate,District 39 Estimate,District 40 Estimate,District 41 Estimate,District 42 Estimate,District 43 Estimate,District 44 Estimate,District 45 Estimate,District 46 Estimate,District 47 Estimate,District 48 Estimate,District 49 Estimate,District 50 Estimate,District 51 Estimate,District 52 Estimate
People,Sex and Age,45 to 54 years,"81,018","93,770","102,370","87,398","88,285","86,891","92,202","90,611","93,167","107,763","91,159","92,628","90,436","99,598","97,287","99,728","92,665","93,960","93,940","90,815","79,994","81,978","82,947","81,530","89,983","92,142","91,861","105,245","99,315","97,232","98,188","102,531","97,953","86,939","92,336","91,097","90,250","92,871","91,062","100,632","96,996","97,686","94,007","91,166","100,349","93,227","99,174","87,961","99,559","102,780","81,022","90,298"
People,Sex and Age,55 to 59 years,"39,671","51,072","46,852","44,879","48,476","42,577","43,899","47,375","42,953","45,852","41,217","45,597","40,030","47,428","46,628","47,708","46,514","38,289","48,719","43,947","37,175","34,791","39,667","37,546","40,268","50,176","55,676","48,723","42,356","44,481","46,988","45,538","39,547","40,373","47,586","45,976","41,962","48,102","45,784","55,865","54,766","44,756","42,351","48,030","50,233","47,504","46,195","42,704","49,535","45,822","39,645","41,558"
People,Sex and Age,60 to 64 years,"50,641","51,753","54,917","44,234","55,906","48,007","41,118","50,412","42,514","48,292","40,960","35,705","37,671","46,504","47,949","47,011","46,260","40,055","48,267","42,567","35,547","36,742","44,305","46,225","41,491","46,506","51,246","52,900","39,611","45,001","41,570","47,553","38,555","38,230","38,794","46,853","40,133","51,494","36,265","55,049","51,032","44,195","42,023","47,263","48,109","42,435","42,900","52,386","48,391","42,711","45,073","38,096"
People,Sex and Age,65 to 74 years,"83,466","99,561","103,852","88,160","97,399","68,032","70,240","74,613","63,451","74,956","69,559","68,652","55,102","70,310","74,990","68,256","60,273","58,555","85,703","68,258","54,290","48,193","68,884","84,175","71,906","75,223","58,928","85,786","57,315","75,332","71,652","79,540","57,016","58,003","53,261","76,044","54,874","71,602","50,889","81,036","91,463","57,022","59,628","64,228","75,596","55,436","66,585","78,369","83,944","62,600","67,689","62,456"
People,Sex and Age,75 to 84 years,"45,645","58,721","59,999","49,159","51,465","36,731","34,554","37,089","32,775","45,875","38,682","38,915","25,418","36,432","40,713","44,686","32,084","24,629","47,394","35,408","25,406","20,721","35,543","46,474","45,786","38,511","33,704","44,694","22,900","37,008","34,938","46,252","22,205","29,643","23,179","45,540","23,838","38,468","25,902","41,792","47,744","29,819","27,347","31,701","44,448","26,681","41,290","41,516","42,796","40,393","33,047","29,401"
People,Sex and Age,85 years and over,"14,722","16,288","15,769","15,532","18,884","13,100","11,796","11,448","11,911","14,481","20,436","14,093","7,823","12,582","17,359","16,596","12,672","10,089","15,123","13,101","8,646","7,778","13,093","17,773","16,936","19,232","9,763","19,716","9,745","15,979","13,793","18,326","6,486","14,386","8,317","20,911","11,024","15,001","8,308","18,811","17,883","9,122","11,193","10,216","15,398","11,215","16,223","12,329","14,128","12,110","14,357","12,502"
People,Sex and Age,Median age (years),38.5,44.9,44,39.6,41.4,37.6,37.6,39.3,36,41.5,40.3,38.6,32.7,40.2,41.4,40.1,37.7,35,42.1,35.7,32.3,30.5,35.4,37.6,36.4,39.7,38.4,43,36.4,39.9,39.4,41.2,33.7,37,35.2,40.5,35.2,40.5,33.2,42.5,40.8,37.3,36.4,37.4,41.2,35.7,38.6,40.1,40.8,37.2,36.4,36.6
People,Sex and Age,18 years and over,"584,775","600,886","627,875","613,089","613,488","577,457","592,661","593,831","571,848","581,330","612,088","609,799","559,815","567,280","585,872","585,514","609,733","559,362","592,748","581,765","535,380","542,121","576,328","611,221","584,126","575,327","552,295","604,014","564,600","638,537","564,524","620,200","556,822","582,665","570,461","614,657","584,668","570,070","578,090","596,722","633,508","567,234","556,355","574,259","581,807","588,642","604,902","567,529","597,956","648,383","598,487","564,758"
People,Sex and Age,65 years and over,"143,833","174,570","179,620","152,851","167,748","117,863","116,590","123,150","108,137","135,312","128,677","121,660","88,343","119,324","133,062","129,538","105,029","93,273","148,220","116,767","88,342","76,692","117,520","148,422","134,628","132,966","102,395","150,196","89,960","128,319","120,383","144,118","85,707","102,032","84,757","142,495","89,736","125,071","85,099","141,639","157,090","95,963","98,168","106,145","135,442","93,332","124,098","132,214","140,868","115,103","115,093","104,359"
People,Race,Total population,"755,464","743,918","788,130","761,543","782,849","747,786","762,568","752,009","770,568","746,449","701,735","734,171","784,322","725,962","721,009","748,899","744,019","743,048","725,878","794,847","749,912","774,942","768,047","761,285","779,900","739,517","736,850","746,863","719,359","745,825","717,084","760,602","763,598","714,948","749,769","742,266","735,660","723,495","767,217","755,867","811,664","711,011","716,670","737,874","737,224","746,079","754,022","740,583","751,418","781,251","748,700","740,517"
People,Race,One race,"651,441","624,297","679,656","648,248","638,447","626,567","649,733","612,130","635,218","636,668","617,678","630,030","583,524","645,688","632,433","653,752","683,368","561,951","616,455","637,504","563,548","557,911","591,642","584,795","522,141","549,807","576,665","644,479","507,937","644,161","550,613","662,824","620,925","580,516","598,178","634,538","581,036","592,093","619,455","631,410","635,353","508,787","549,703","588,042","617,198","552,195","654,230","605,413","611,953","658,822","608,627","497,135"
People,Race,White,"485,552","497,396","548,478","420,918","474,330","361,326","262,636","195,221","250,447","365,812","300,729","250,759","205,564","197,193","217,274","323,305","159,798","178,140","362,741","419,834","207,754","205,115","341,438","423,957","218,670","372,401","283,789","211,339","180,391","423,362","149,837","396,315","175,097","119,958","143,815","417,544","120,145","144,277","195,293","373,683","365,127","203,728","85,397","159,795","210,649","167,179","391,197","421,914","463,454","436,725","358,712","153,742"
People,Race,Black or African American,"13,909","12,476","14,393","25,326","21,346","69,339","75,262","101,174","56,246","36,680","33,499","108,979","19,987","39,404","19,465","11,906","19,104","14,481","16,137","27,316","30,181","35,746","71,819","11,916","26,431","15,102","70,091","25,432","31,229","32,298","20,267","35,183","67,222","31,081","47,439","31,375","160,987","18,607","64,305","18,988","46,151","40,197","150,313","71,888","14,517","11,701","14,144","31,414","16,975","20,264","44,715","59,382"
People,Race,American Indian and Alaska Native,"13,654","14,902","6,395","10,079","12,169","6,583","12,908","9,405","13,735","5,651","5,784","8,340","13,871","6,942","9,639","6,123","4,139","15,328","5,682","10,484","15,370","15,840","12,736","16,624","15,914","10,274","11,652","11,225","9,809","7,041","14,136","5,085","8,959","18,715","12,132","2,290","12,828","13,599","14,462","3,089","12,759","15,558","14,000","13,239","8,133","13,689","4,132","9,082","6,671","6,281","6,912","12,903"
People,Race,Asian,"46,055","31,928","71,996","71,914","47,629","88,871","181,798","143,826","139,521","171,385","229,021","152,401","56,674","293,511","278,481","236,987","435,958","80,123","145,180","68,407","71,198","26,311","35,129","40,103","25,177","58,092","83,139","286,040","53,524","94,779","139,825","108,742","56,570","128,402","100,564","132,308","53,456","158,980","47,133","152,897","64,114","52,162","62,330","84,284","288,137","120,678","196,625","61,000","51,434","112,723","126,285","103,044"
People,Race,Native Hawaiian and Other Pacific Islander,"1,713","1,130","1,321","1,880","2,978","6,016","13,889","7,447","4,488","1,232","2,128","3,093","6,300","8,840","8,539","6,259",483,"3,116","3,298","1,402",617,"1,234","2,478",724,"2,098","1,584","2,825","1,526","1,899",512,"1,987",859,"3,874",717,"2,288",669,"1,015","1,636","3,130","1,043","2,359","2,229","2,525","2,623","1,136","2,616","4,657","2,459","1,984","3,545","3,477","2,904"
People,Race,Some other race,"90,558","66,465","37,073","118,131","79,995","94,432","103,240","155,057","170,781","55,908","46,517","106,458","281,128","99,798","99,035","69,172","63,886","270,763","83,417","110,061","238,428","273,665","128,042","91,471","233,851","92,354","125,169","108,917","231,085","86,169","224,561","116,640","309,203","281,643","291,940","50,352","232,605","254,994","295,132","81,710","144,843","194,913","235,138","256,213","94,626","236,332","43,475","79,544","71,435","79,284","68,526","165,160"
People,Race,Two or more races,"104,023","119,621","108,474","113,295","144,402","121,219","112,835","139,879","135,350","109,781","84,057","104,141","200,798","80,274","88,576","95,147","60,651","181,097","109,423","157,343","186,364","217,031","176,405","176,490","257,759","189,710","160,185","102,384","211,422","101,664","166,471","97,778","142,673","134,432","151,591","107,728","154,624","131,402","147,762","124,457","176,311","202,224","166,967","149,832","120,026","193,884","99,792","135,170","139,465","122,429","140,073","243,382"
People,Hispanic or Latino and Race,Total population,"755,464","743,918","788,130","761,543","782,849","747,786","762,568","752,009","770,568","746,449","701,735","734,171","784,322","725,962","721,009","748,899","744,019","743,048","725,878","794,847","749,912","774,942","768,047","761,285","779,900","739,517","736,850","746,863","719,359","745,825","717,084","760,602","763,598","714,948","749,769","742,266","735,660","723,495","767,217","755,867","811,664","711,011","716,670","737,874","737,224","746,079","754,022","740,583","751,418","781,251","748,700","740,517"
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),"183,065","158,973","119,458","250,516","229,365","181,753","207,252","284,622","327,587","131,234","106,730","182,375","518,724","170,503","184,836","145,909","111,551","496,339","189,569","287,590","491,484","588,684","334,471","298,369","532,411","331,397","327,555","216,220","472,905","176,772","438,312","198,520","491,059","457,117","491,159","116,807","395,262","446,396","486,840","196,901","340,523","462,162","434,112","471,049","233,345","487,674","126,176","207,526","202,857","189,438","196,086","452,897"
People,Hispanic or Latino and Race,Mexican,"154,732","102,445","84,763","201,834","201,890","142,213","172,418","187,554","286,802","79,617","56,241","116,257","485,790","122,789","104,784","111,622","77,271","446,697","153,340","249,174","462,542","544,483","271,159","266,340","488,843","285,824","237,575","163,104","304,145","98,672","363,860","110,775","425,315","304,496","418,953","73,878","231,610","384,103","418,404","160,898","278,485","358,918","312,813","373,126","188,645","436,661","91,796","172,299","161,117","146,675","157,757","420,454"
People,Hispanic or Latino and Race,Puerto Rican,"4,322","5,402","5,175","2,633","2,961","4,340","4,635","6,628","5,572","3,655","3,613","5,740","2,966","5,529","4,674","2,745","1,521","3,204","3,714","2,501","2,054","3,728","8,501","3,382","4,731","5,561","4,880","2,335","2,885","4,344","1,619","3,697","3,185","2,932","2,136","3,055","2,721","4,900","3,734","4,431","6,677","4,039","2,604","6,395","2,366","2,455","1,582","5,769","5,148","6,860","6,492","9,464"
People,Hispanic or Latino and Race,Cuban,"1,024",870,827,"1,980",566,"2,227","1,395","1,043",371,"1,264","1,442",915,558,532,493,602,465,"2,243","1,833","1,832",321,"1,056","2,138","1,496","1,686","2,874","2,433","2,886","2,175","3,695","3,012","3,054",904,"1,396","2,125","2,897","1,133","1,607","1,756","2,530","2,473","3,654","1,555","1,268","2,070","1,144","2,139",483,379,"3,358","2,130","1,423"
People,Hispanic or Latino and Race,Other Hispanic or Latino,"22,987","50,256","28,693","44,069","23,948","32,973","28,804","89,397","34,842","46,698","45,434","59,463","29,410","41,653","74,885","30,940","32,294","44,195","30,682","34,083","26,567","39,417","52,673","27,151","37,151","37,138","82,667","47,895","163,700","70,061","69,821","80,994","61,655","148,293","67,945","36,977","159,798","55,786","62,946","29,042","52,888","95,551","117,140","90,260","40,264","47,414","30,659","28,975","36,213","32,545","29,707","21,556"
People,Hispanic or Latino and Race,Not Hispanic or Latino,"572,399","584,945","668,672","511,027","553,484","566,033","555,316","467,387","442,981","615,215","595,005","551,796","265,598","555,459","536,173","602,990","632,468","246,709","536,309","507,257","258,428","186,258","433,576","462,916","247,489","408,120","409,295","530,643","246,454","569,053","278,772","562,082","272,539","257,831","258,610","625,459","340,398","277,099","280,377","558,966","471,141","248,849","282,558","266,825","503,879","258,405","627,846","533,057","548,561","591,813","552,614","287,620"
People,Place of Birth,Total population,"755,464","743,918","788,130","761,543","782,849","747,786","762,568","752,009","770,568","746,449","701,735","734,171","784,322","725,962","721,009","748,899","744,019","743,048","725,878","794,847","749,912","774,942","768,047","761,285","779,900","739,517","736,850","746,863","719,359","745,825","717,084","760,602","763,598","714,948","749,769","742,266","735,660","723,495","767,217","755,867","811,664","711,011","716,670","737,874","737,224","746,079","754,022","740,583","751,418","781,251","748,700","740,517"
People,Place of Birth,Native,"675,136","634,404","691,544","622,811","682,782","573,231","587,080","523,060","570,287","553,464","471,186","531,105","574,138","430,042","429,341","491,233","356,921","488,498","552,308","699,563","586,977","569,739","655,559","628,182","575,948","558,381","567,377","475,946","422,686","476,596","459,561","516,727","572,882","404,473","524,988","572,217","492,076","495,475","578,707","559,223","656,122","480,363","475,819","495,230","455,806","457,585","550,670","618,384","619,593","607,938","569,750","506,062"
People,Place of Birth,Born in United States,"666,702","624,767","682,280","611,487","672,013","561,449","574,338","503,836","559,553","541,551","454,773","518,581","563,299","418,980","413,833","478,540","348,068","477,200","539,733","689,410","580,119","562,552","645,333","619,410","561,716","547,033","556,871","466,696","406,580","465,259","449,821","502,058","565,606","397,184","515,674","554,601","481,533","483,993","566,061","548,881","643,790","472,087","469,504","485,119","444,706","446,882","538,974","605,944","607,026","592,440","552,880","485,853"
People,Place of Birth,State of residence,"523,301","457,987","514,758","480,150","552,336","451,877","469,643","404,764","487,194","412,419","276,060","350,023","513,867","341,234","333,225","344,615","269,423","420,679","407,767","578,689","522,077","512,336","514,811","474,596","469,607","420,435","466,672","373,027","343,008","285,994","399,109","345,319","502,937","324,944","464,455","345,560","378,619","437,022","501,836","421,510","494,214","405,891","396,104","427,184","374,432","399,637","389,726","439,533","390,293","356,954","369,409","387,910"
People,Place of Birth,Different state,"143,401","166,780","167,522","131,337","119,677","109,572","104,695","99,072","72,359","129,132","178,713","168,558","49,432","77,746","80,608","133,925","78,645","56,521","131,966","110,721","58,042","50,216","130,522","144,814","92,109","126,598","90,199","93,669","63,572","179,265","50,712","156,739","62,669","72,240","51,219","209,041","102,914","46,971","64,225","127,371","149,576","66,196","73,400","57,935","70,274","47,245","149,248","166,411","216,733","235,486","183,471","97,943"
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,434","9,637","9,264","11,324","10,769","11,782","12,742","19,224","10,734","11,913","16,413","12,524","10,839","11,062","15,508","12,693","8,853","11,298","12,575","10,153","6,858","7,187","10,226","8,772","14,232","11,348","10,506","9,250","16,106","11,337","9,740","14,669","7,276","7,289","9,314","17,616","10,543","11,482","12,646","10,342","12,332","8,276","6,315","10,111","11,100","10,703","11,696","12,440","12,567","15,498","16,870","20,209"
People,Place of Birth,Foreign born,"80,328","109,514","96,586","138,732","100,067","174,555","175,488","228,949","200,281","192,985","230,549","203,066","210,184","295,920","291,668","257,666","387,098","254,550","173,570","95,284","162,935","205,203","112,488","133,103","203,952","181,136","169,473","270,917","296,673","269,229","257,523","243,875","190,716","310,475","224,781","170,049","243,584","228,020","188,510","196,644","155,542","230,648","240,851","242,644","281,418","288,494","203,352","122,199","131,825","173,313","178,950","234,455"
People,Ancestry,Total population,"755,464","743,918","788,130","761,543","782,849","747,786","762,568","752,009","770,568","746,449","701,735","734,171","784,322","725,962","721,009","748,899","744,019","743,048","725,878","794,847","749,912","774,942","768,047","761,285","779,900","739,517","736,850","746,863","719,359","745,825","717,084","760,602","763,598","714,948","749,769","742,266","735,660","723,495","767,217","755,867","811,664","711,011","716,670","737,874","737,224","746,079","754,022","740,583","751,418","781,251","748,700","740,517"
People,Ancestry,American,"40,843","18,671","23,600","16,617","18,534","18,819","17,207","12,812","20,207","20,753","17,286","15,026","9,283","10,274","20,274","15,856","12,438","9,637","16,068","26,408","13,301","13,420","20,777","15,752","14,741","27,696","18,822","18,526","22,693","37,823","13,897","24,879","17,182","29,954","17,973","31,916","22,967","24,055","20,348","39,620","23,731","17,103","19,388","17,104","31,401","59,860","27,461","26,233","26,462","20,135","17,968","10,275"
People,Ancestry,Arab,"3,446","5,726","6,476","2,657","4,685","7,005","4,841","3,844","2,034","8,366","6,734","7,567","3,340","5,736","9,758","5,051","5,110","2,071","6,476","5,344","2,484","3,462","4,140","3,979",616,"4,073","8,516","6,150","5,936","11,038","8,486","11,532","8,533","2,785","4,070","12,059","4,124","2,294","6,346","9,780","9,626","5,361","2,845","3,592","9,734","5,323","15,299","14,023","6,062","11,973","21,166","2,103"
People,Ancestry,Czech,"1,332","2,095","1,438","1,546","1,560",947,"1,845","1,227",458,"2,310","1,561","1,172",214,891,524,"2,598","1,529",893,"2,485","1,460",307,66,"1,350","1,498",496,990,822,"1,477",654,"1,037",110,937,448,949,266,"3,563",261,690,"1,047","1,235","1,167",581,289,669,"1,330",479,"2,738","1,787","3,437","2,245","1,686","1,214"
People,Ancestry,Danish,"4,577","5,568","5,841","5,175","5,110","4,913","3,712","1,527","2,608","5,556","2,468","3,101","1,307","1,905","2,481","3,872",779,"1,508","4,005","2,750","1,198",432,"1,796","4,908","1,665","3,513","1,743","1,332",689,"3,022","1,569","3,268","1,112",537,523,"5,025","1,065","1,354","2,390","3,510","1,828","2,253",142,994,"1,683",480,"1,917","3,865","5,000","3,594","2,590",450
People,Ancestry,Dutch,"6,287","11,535","12,128","5,630","8,901","4,322","4,219","2,856","6,121","6,109","5,549","4,318","3,789","2,727","3,054","5,017","3,777","1,882","8,503","8,802","4,103","2,060","7,862","6,224","2,910","5,190","3,529","3,160","1,636","4,223","2,248","5,048","2,690",684,"2,239","6,183","2,053","3,141","2,852","6,530","7,414","3,049",649,"2,182","5,214","1,973","6,696","10,232","10,345","8,792","5,122","2,272"
People,Ancestry,English,"80,145","96,586","107,401","74,819","87,251","53,806","47,563","29,891","38,689","67,298","44,380","48,148","23,758","32,488","32,254","55,652","23,998","26,496","68,201","61,254","22,382","17,856","45,522","76,439","35,525","56,688","47,840","39,062","14,268","47,295","17,895","41,038","20,465","11,797","16,873","62,775","12,579","15,992","26,318","68,759","60,888","22,533","10,837","15,764","32,182","16,356","63,531","73,275","83,194","70,735","64,538","21,093"
People,Ancestry,French (except Basque),"13,217","23,215","19,456","16,289","16,516","8,818","8,993","6,927","6,963","12,019","17,245","11,973","5,334","6,977","8,584","15,516","6,620","7,866","12,868","12,697","2,629","3,055","9,454","12,844","6,274","9,765","5,509","5,423","4,038","12,348","4,767","11,200","4,456","4,173","3,680","16,290","7,000","3,375","3,535","9,985","11,340","6,478","5,149","2,729","7,206","4,000","11,856","13,543","15,162","20,571","11,683","4,875"
People,Ancestry,French Canadian,"2,335","1,463","2,353","1,778","1,080","1,591","2,469","1,949",580,"1,185","1,271","1,156",442,"1,059","1,191","1,437",618,739,"2,081","1,526",854,559,"1,846","1,734",903,"2,231","1,267","2,183",710,"2,196",656,527,"1,140",269,688,"1,616",625,485,880,"2,020","1,991",808,437,838,"1,192",401,"1,801","1,966","2,147","3,323","1,094",778
People,Ancestry,German,"86,644","97,124","117,204","77,442","89,285","63,576","50,331","36,215","41,000","71,512","52,815","49,506","24,327","36,318","31,646","56,168","27,537","24,555","66,909","79,259","24,521","17,680","57,947","80,988","36,903","55,579","44,992","41,212","15,011","44,916","20,660","43,105","25,203","15,608","22,195","75,195","16,561","19,929","31,671","68,864","60,628","24,655","12,473","14,311","40,161","23,108","69,450","86,620","86,700","86,516","70,450","22,254"
People,Ancestry,Greek,"1,702","4,092","5,166","2,672","3,459","3,411","2,311","1,163","2,592","4,551","3,133","2,598",589,"2,176","3,968","5,579",757,822,"4,670","1,843",453,329,"1,524","3,762",432,"3,936","2,224","1,890","1,901","3,216",867,"3,834",688,"1,662",696,"4,734","1,340","1,336",656,"3,540","2,580","1,375",156,"1,138",887,211,"3,314","2,215","3,187","3,192","2,806",333
People,Ancestry,Hungarian,"1,166","2,926","2,726","2,038","1,605","1,765",682,910,"1,501","1,832","2,895","2,372",354,742,"1,093","4,107","1,545",409,"2,247","1,778",193,278,"1,961","3,747","1,532","3,295","2,650","1,126","2,115","2,868",311,"3,660",443,"1,790",780,"4,566",630,562,914,"1,990","2,141",950,544,974,"2,030","1,075","2,453","3,046","3,531","5,117","2,912",846
People,Ancestry,Irish,"66,750","92,393","86,082","72,895","74,537","50,204","41,994","31,532","31,678","68,248","58,855","44,790","21,392","30,334","36,674","48,967","21,106","21,497","63,917","60,622","21,520","16,354","48,048","70,252","30,689","46,572","34,784","39,238","17,195","49,414","19,523","35,964","22,936","18,222","16,884","55,028","12,819","17,175","23,631","54,593","57,004","23,963","10,902","13,326","30,317","14,046","56,286","68,840","77,191","70,454","57,903","21,042"
People,Ancestry,Italian,"30,587","48,964","50,881","37,482","37,967","24,676","27,073","18,212","27,316","38,577","37,800","28,618","12,628","18,128","27,022","32,174","16,343","21,077","35,827","25,917","8,687","6,697","21,568","36,992","17,350","28,467","25,300","19,488","9,879","29,845","13,526","29,080","11,736","9,746","12,535","40,094","8,639","7,702","12,544","32,215","24,823","11,747","6,688","10,876","16,492","11,273","35,686","37,233","47,874","45,276","27,273","14,306"
People,Ancestry,Lithuanian,322,"2,178",637,"1,231",478,502,707,897,149,"1,082","1,815","1,327",442,467,"1,059","1,429",567,106,"1,606",100,290,62,499,"1,717",625,"1,327",348,"1,543",233,"1,368",299,"3,065",286,566,62,"2,909","1,128",88,738,"1,313",672,211,0,239,611,151,"1,597",993,"2,863","1,856","1,116",199
People,Ancestry,Norwegian,"10,610","12,467","15,926","9,366","8,995","7,930","8,331","4,518","5,256","9,257","5,303","5,781","4,313","3,855","4,027","6,534","3,220","2,732","8,493","9,119","2,725","1,153","6,208","11,163","3,984","6,721","5,568","3,550","1,402","7,119","2,131","4,716","3,705","1,857","1,699","6,526","1,780","1,808","2,384","9,225","8,293","3,337","1,111","1,795","4,004","2,038","7,107","8,571","14,534","8,825","10,186","2,470"
